Feature
TimeDateStamp
MajorLinkerVersion
SectionAlignment
SizeOfImage
DllCharacteristics
text_Misc_VirtualSize
text_SizeOfRawData
data_Characteristics
rdata_Characteristics
rsrc_Misc_VirtualSize
rsrc_SizeOfRawData
rsrc_PointerToRawData
